dataset_path,model_key,model_label,family,model,defense_key,defense_profile,run_id,run_dir
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d0_base,D0,20260305T120000Z_eced48,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260305T120000Z_eced48
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d0_lowtemp,D0,20260306T123700Z_25f22a,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260306T123700Z_25f22a
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d1_base,D1,20260307T131400Z_7c569e,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260307T131400Z_7c569e
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d1_lowtemp,D1,20260308T135100Z_a50c7c,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260308T135100Z_a50c7c
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d2_base,D2,20260309T142800Z_ac3b04,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260309T142800Z_ac3b04
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d2_lowtemp,D2,20260310T150500Z_5609c5,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260310T150500Z_5609c5
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d2_postfilter_strict,D2,20260311T154200Z_845755,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260311T154200Z_845755
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d3_soft,D3,20260312T161900Z_107063,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260312T161900Z_107063
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d3_soft_lowtemp,D3,20260313T165600Z_360c82,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260313T165600Z_360c82
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d3_strict,D3,20260314T173300Z_753eb2,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260314T173300Z_753eb2
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d3_strict_lowtemp,D3,20260315T181000Z_1d96b5,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260315T181000Z_1d96b5
data/merged_safety_utility_big.jsonl,gemma_3_12b,Gemma 3 12B,Gemma,google/gemma-3-12b,d3_strict_lowtok,D3,20260316T184700Z_4e0f15,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260316T184700Z_4e0f15
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d0_base,D0,20260317T093500Z_9f330b,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260317T093500Z_9f330b
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d0_lowtemp,D0,20260318T101200Z_7dec10,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260318T101200Z_7dec10
